,K_sa,K_sb,k_ba,k_ab,K_ba,K_ab,k_sa,k_sb
0.12030570341877,0.239858773425285,0.60085311686828,0.363768959601294,0.29251828175455,0.006658084938159,0.757098655254032,0.354594597096445,0.601911233277435
0.127080596708074,0.059864768683883,0.902048551536812,0.50702407386155,0.435902683179829,0.153789153588889,0.753077606769357,0.906347911332697,0.651964541288102
0.210959217099541,0.480874859726685,0.082158455749707,0.532691382234844,0.552568254080576,0.6293696485586,0.002035715168259,0.991508052898331,0.948861192965761
0.031018145454108,0.334127461357757,0.534629029548742,0.9858852210092,0.042988371361038,0.047674849240308,0.763051523274233,0.992138437439641,0.167066677521856
0.010634930168514,0.62756358782409,0.035818951847877,0.803655657722985,0.071809349966141,0.5520086663267,0.094495303329962,0.136164282591451,0.853037674321448
0.033565595780823,0.565780715788803,0.634658179543149,0.562184875711041,0.086288248866325,0.749399437035621,0.198203182078983,0.592745444849728,0.437255897703817
0.049316336141856,0.604932516437068,0.863646284675636,0.43627403304671,0.08299797354164,0.57029204014224,0.050290128720543,0.56869225506795,0.504268502020999
0.037071676628351,0.514193628550306,0.16730736320263,0.838696179082848,0.189794565498993,0.685790435284616,0.519913458529577,0.921276868867181,0.366491872419306
0.065754111121786,0.284936568175501,0.015065343435777,0.982178050528897,0.167171396611423,0.449739600715485,0.934339060442009,0.721269436732874,0.225277202309556
0.037105807326723,0.467603971287489,0.147697114377864,0.199514043420756,0.500777833578278,0.885254270349023,0.352456028033569,0.232683821188589,0.778812978118058
0.294848458312732,0.327491145535421,0.843378488686524,0.371857817529892,0.141839934583671,0.007263730352436,0.436635373363356,0.595560116949757,0.979417710010157
0.04771116799356,0.340253071391545,0.066608574243676,0.343962696470197,0.646652145709156,0.009446093105894,0.821654437011608,0.427053749921276,0.526487316058842
0.272552917258847,0.174870105687993,0.23255625478932,0.684025860409144,0.146185676336208,0.211597245855815,0.041232821058531,0.851320826779613,0.521239401861651
0.279776034568254,0.022134732079578,0.133752864723883,0.673022097592277,0.466720473478395,0.127557469500839,0.938277662115651,0.710697353280182,0.497086492908419
0.052910466236045,0.137914215357653,0.164721152830709,0.701331293702029,0.076503739636329,0.873212060179031,0.119739577627742,0.220314181362752,0.432515080963004
0.048976655760891,0.568687613899074,0.545437263609207,0.163555357166458,0.52454618965838,0.209960300192176,0.50708046915448,0.610168071967195,0.806951765457227
0.15843136912827,0.688366344878302,0.008035405786061,0.255781798781611,0.445587541562782,0.273222799125754,0.332415414999218,0.385704600294798,0.804014782552206
0.137656063356012,0.135101539792466,0.496418666413182,0.114963107246087,0.310967214409773,0.016634687767278,0.460938370546227,0.59479713674663,0.246025910852115
0.115552713921,0.428432234373108,0.787905677620373,0.097413206780092,0.477754625117149,0.012068611081512,0.592085851500969,0.374904793391748,0.698140247444363
0.028593247493936,0.881564050043909,0.373810064710582,0.303177340651541,0.150568461678114,0.073725749017402,0.549223908188703,0.567223984702858,0.53138299905197
0.030835459679478,0.593856705973319,0.104196727449344,0.602978041997255,0.152019976907559,0.216771684561663,0.019009189527833,0.900554756577141,0.275105218147018
0.075223073784225,0.057228605753672,0.900019012841392,0.682567384933924,0.250634738189131,0.085680905799663,0.553791717713679,0.56032900285202,0.912324196656824
0.063556884579185,0.249987851176178,0.063898434271368,0.119025033824263,0.71251145139333,0.115961976374187,0.212457683884205,0.823120658223523,0.544211983421244
0.071234302777988,0.291913638956844,0.5327984373311,0.563359663555314,0.318027747709084,0.02467939071055,0.679187972442422,0.890680707212772,0.521633776998203
0.149513302035361,0.402217576010386,0.039040368171976,0.272354955667095,0.533985350835203,0.054015098249139,0.139031549056438,0.33489407471936,0.926799336341259
0.032444700661651,0.863332993326089,0.321897328649262,0.640581863659589,0.166590112036577,0.004120723197342,0.755225338496912,0.95644458893175,0.286352040819613
0.069273531624438,0.797152101295368,0.290780642556226,0.253450431218583,0.391010104682371,0.058536181189806,0.306353723910376,0.887074264780085,0.694371957710368
0.076402601562992,0.145304865959532,0.783886498309581,0.442549352997462,0.293773053596038,0.066840415846772,0.536356425249857,0.527412616123014,0.855814734353374
0.135477992540136,0.807027226598824,0.051238647337127,0.634341832488187,0.264684117032894,0.271469173182435,0.066092341874069,0.816150264810687,0.738034868881583
0.437334013023153,0.001557595294803,0.993194258613371,0.587068180502796,0.383893309287798,0.018275534039439,0.917129631594387,0.85102202404003,0.642094431864749
0.147631192537855,0.265258989497366,0.359125588896308,0.494953639655612,0.051928301764256,0.129297081954627,0.121263086992766,0.712247003384479,0.177911339212285
0.015957797648752,0.611141231715665,0.080989476448006,0.509556712419061,0.329547924469357,0.06598646896285,0.397316906254035,0.385200962742839,0.990116482747344
0.025734447533009,0.732473713709925,0.101887965673109,0.516871122057537,0.286344261773504,0.246806855793409,0.234996444666315,0.711349608263378,0.604181928366598
