,K_sa,K_sb,k_ba,k_ab,K_ba,K_ab,k_sa,k_sb,Ancho,Alto Off,Alto On,S_on,S_off
0.0133679428826,0.0954479123199,0.507014979182,0.911030396622,5.57454547541,0.0954479123199,0.0954479123199,1.29437308244,4.2223361455,0.028028028028,0.457789267901,0.39309489837800005,0.550550550551,0.522522522523
0.0141346856234,0.0927765099708,0.272426055496,0.860748080236,0.57833263428,0.0927765099708,0.0927765099708,2.9148587526700003,2.54719878059,0.022022022022,0.570945237994,0.577919878166,0.162162162162,0.14014014014
0.0431628329483,0.09057685071869999,0.214491334974,0.8204165886120001,69.3249442721,0.09057685071869999,0.09057685071869999,0.30764409337299997,65.0836268756,0.0790790790791,0.41096611742899997,0.511599131341,0.940940940941,0.861861861862
0.0263019400453,0.07561671912949999,0.0696363278691,0.57178882119,0.145516910504,0.07561671912949999,0.07561671912949999,1.47453484165,0.7075307262270001,0.037037037037,0.570697990478,0.659605266071,0.154154154154,0.117117117117
0.0970582959874,0.0121729835889,0.2210368989,0.0148181529455,0.318596578349,0.0121729835889,0.0121729835889,0.08669520008410002,0.9469285700229999,0.10510510510500001,0.772970627849,0.482040940393,0.16916916916900002,0.06406406406410001
0.000818321234727,0.100910956733,0.09693433590749999,1.0183021188799999,1.83302392908,0.100910956733,0.100910956733,0.598789613783,5.17080908724,0.002002002002,0.179776442581,0.250523060734,0.299299299299,0.297297297297
0.00204619360302,0.013308451292000001,0.730203891187,0.0177114875793,50.7076641861,0.013308451292000001,0.013308451292000001,8.9913323297,28.807188508499998,0.001001001001,0.553894899279,0.779545218642,0.003003003003,0.002002002002
0.0961947334808,0.051477940454000004,0.323423499572,0.264997835339,0.8701742398160001,0.051477940454000004,0.051477940454000004,0.153718563983,1.5454906627200002,0.13013013013,0.62041998338,0.410219669401,0.654654654655,0.524524524525
0.0018125427693599999,0.0193224003994,0.433427032988,0.0373355157193,0.221263513059,0.0193224003994,0.0193224003994,5.38854052226,91.7968705969,0.001001001001,0.8892056117630001,0.941088422019,0.003003003003,0.002002002002
0.0512923662478,0.0431381163588,0.312069867758,0.18608970829799998,6.00473219466,0.0431381163588,0.0431381163588,0.785825173417,14.4763004249,0.06406406406410001,0.7883106474070001,0.571086458055,0.202202202202,0.138138138138
