,K_sa,K_sb,k_ba,k_ab,K_ba,K_ab,k_sa,k_sb,Ancho,Alto Off,Alto On,S_on,S_off
0.0133679428826,0.0954479123199,0.507014979182,0.911030396622,5.57454547541,0.0954479123199,0.0954479123199,1.29437308244,4.2223361455,0.028028028028,0.457789267901,0.393094898378,0.550550550551,0.522522522523
0.0141346856234,0.0927765099708,0.272426055496,0.860748080236,0.57833263428,0.0927765099708,0.0927765099708,2.91485875267,2.54719878059,0.022022022022,0.570945237994,0.577919878166,0.162162162162,0.14014014014
0.0431628329483,0.0905768507187,0.214491334974,0.820416588612,69.3249442721,0.0905768507187,0.0905768507187,0.307644093373,65.0836268756,0.0790790790791,0.410966117429,0.511599131341,0.940940940941,0.861861861862
0.0263019400453,0.0756167191295,0.0696363278691,0.57178882119,0.145516910504,0.0756167191295,0.0756167191295,1.47453484165,0.707530726227,0.037037037037,0.570697990478,0.659605266071,0.154154154154,0.117117117117
0.0970582959874,0.0121729835889,0.2210368989,0.0148181529455,0.318596578349,0.0121729835889,0.0121729835889,0.0866952000841,0.946928570023,0.105105105105,0.772970627849,0.482040940393,0.169169169169,0.0640640640641
0.000818321234727,0.100910956733,0.0969343359075,1.01830211888,1.83302392908,0.100910956733,0.100910956733,0.598789613783,5.17080908724,0.002002002002,0.179776442581,0.250523060734,0.299299299299,0.297297297297
0.00204619360302,0.013308451292,0.730203891187,0.0177114875793,50.7076641861,0.013308451292,0.013308451292,8.9913323297,28.8071885085,0.001001001001,0.553894899279,0.779545218642,0.003003003003,0.002002002002
0.0961947334808,0.051477940454,0.323423499572,0.264997835339,0.870174239816,0.051477940454,0.051477940454,0.153718563983,1.54549066272,0.13013013013,0.62041998338,0.410219669401,0.654654654655,0.524524524525
0.00181254276936,0.0193224003994,0.433427032988,0.0373355157193,0.221263513059,0.0193224003994,0.0193224003994,5.38854052226,91.7968705969,0.001001001001,0.889205611763,0.941088422019,0.003003003003,0.002002002002
0.0512923662478,0.0431381163588,0.312069867758,0.186089708298,6.00473219466,0.0431381163588,0.0431381163588,0.785825173417,14.4763004249,0.0640640640641,0.788310647407,0.571086458055,0.202202202202,0.138138138138
0.0128378929279,0.054110343577,0.322192282762,0.292792928203,2.43584455289,0.054110343577,0.054110343577,3.00334247573,11.415621756,0.017017017017,0.752206223248,0.561514376636,0.0830830830831,0.0660660660661
0.0580372900847,0.0708424969021,0.0224950138221,0.501865936733,0.0689936911462,0.0708424969021,0.0708424969021,0.905892875201,0.204569080847,0.0780780780781,0.547143322473,0.585911374429,0.238238238238,0.16016016016
0.00335976591883,0.0667571856902,0.827208873875,0.445652184127,0.541659969492,0.0667571856902,0.0667571856902,12.0953422237,13.8330771856,0.004004004004,0.690766042643,0.632907100124,0.028028028028,0.024024024024
0.00214886271058,0.0501269015348,0.800737469504,0.251270625748,0.107082814913,0.0501269015348,0.0501269015348,23.0338273509,7.4441725341,0.002002002002,0.748712887898,0.672157057538,0.00900900900901,0.00700700700701
0.070003276591,0.0127988968691,0.231001642433,0.0163811761065,0.544734038053,0.0127988968691,0.0127988968691,0.130980125138,4.57917159422,0.0730730730731,0.45515904443,0.661248500523,0.109109109109,0.036036036036
0.00343045425852,0.0800471160682,0.011625247288,0.640754079084,0.172168665963,0.0800471160682,0.0800471160682,9.68077907411,6.0588351909,0.004004004004,0.656116417678,0.704988542844,0.02002002002,0.016016016016
0.0368969029212,0.049268898529,0.713792270827,0.242742436226,0.138780234516,0.049268898529,0.049268898529,0.985129979846,1.01993730337,0.046046046046,0.704906088652,0.662346052743,0.16016016016,0.114114114114
0.0699016943439,0.0356759772332,0.173428739672,0.127277535154,3.73386356444,0.0356759772332,0.0356759772332,0.358296504139,2.7996262574,0.0890890890891,0.819772705976,0.468242859013,0.329329329329,0.24024024024
0.109139204221,0.0242082187227,0.0570479828541,0.0586037853728,3.78621606129,0.0242082187227,0.0242082187227,0.227319901855,13.9259301599,0.119119119119,0.831847715281,0.42988781554,0.198198198198,0.0790790790791
0.0176577497002,0.0586981946901,0.9733906715,0.344547805988,1.25680102934,0.0586981946901,0.0586981946901,0.456824327996,0.57359052721,0.035035035035,0.509017749204,0.243634518339,0.683683683684,0.648648648649
